dataset,condition_id,condition_name,shaft_speed_rpm,radial_load_kn,bearing_id,bearing_index,snapshot_index,relative_path,split,n_signal_samples,sampling_rate_hz,snapshot_duration_seconds,snapshot_interval_minutes,rul_minutes
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,23,35Hz12kN/Bearing1_1/23.csv,train,32768,25600,1.28,1,100
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,24,35Hz12kN/Bearing1_1/24.csv,train,32768,25600,1.28,1,99
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,25,35Hz12kN/Bearing1_1/25.csv,train,32768,25600,1.28,1,98
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,26,35Hz12kN/Bearing1_1/26.csv,train,32768,25600,1.28,1,97
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,27,35Hz12kN/Bearing1_1/27.csv,train,32768,25600,1.28,1,96
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,28,35Hz12kN/Bearing1_1/28.csv,train,32768,25600,1.28,1,95
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,29,35Hz12kN/Bearing1_1/29.csv,train,32768,25600,1.28,1,94
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,30,35Hz12kN/Bearing1_1/30.csv,train,32768,25600,1.28,1,93
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,31,35Hz12kN/Bearing1_1/31.csv,train,32768,25600,1.28,1,92
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,32,35Hz12kN/Bearing1_1/32.csv,train,32768,25600,1.28,1,91
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,33,35Hz12kN/Bearing1_1/33.csv,train,32768,25600,1.28,1,90
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,34,35Hz12kN/Bearing1_1/34.csv,train,32768,25600,1.28,1,89
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,35,35Hz12kN/Bearing1_1/35.csv,train,32768,25600,1.28,1,88
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,36,35Hz12kN/Bearing1_1/36.csv,train,32768,25600,1.28,1,87
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,37,35Hz12kN/Bearing1_1/37.csv,train,32768,25600,1.28,1,86
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,38,35Hz12kN/Bearing1_1/38.csv,train,32768,25600,1.28,1,85
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,39,35Hz12kN/Bearing1_1/39.csv,train,32768,25600,1.28,1,84
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,40,35Hz12kN/Bearing1_1/40.csv,train,32768,25600,1.28,1,83
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,41,35Hz12kN/Bearing1_1/41.csv,train,32768,25600,1.28,1,82
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,42,35Hz12kN/Bearing1_1/42.csv,train,32768,25600,1.28,1,81
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,43,35Hz12kN/Bearing1_1/43.csv,train,32768,25600,1.28,1,80
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,44,35Hz12kN/Bearing1_1/44.csv,train,32768,25600,1.28,1,79
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,45,35Hz12kN/Bearing1_1/45.csv,train,32768,25600,1.28,1,78
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,46,35Hz12kN/Bearing1_1/46.csv,train,32768,25600,1.28,1,77
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,47,35Hz12kN/Bearing1_1/47.csv,train,32768,25600,1.28,1,76
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,48,35Hz12kN/Bearing1_1/48.csv,train,32768,25600,1.28,1,75
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,49,35Hz12kN/Bearing1_1/49.csv,train,32768,25600,1.28,1,74
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,50,35Hz12kN/Bearing1_1/50.csv,train,32768,25600,1.28,1,73
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,51,35Hz12kN/Bearing1_1/51.csv,train,32768,25600,1.28,1,72
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,52,35Hz12kN/Bearing1_1/52.csv,train,32768,25600,1.28,1,71
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,53,35Hz12kN/Bearing1_1/53.csv,train,32768,25600,1.28,1,70
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,54,35Hz12kN/Bearing1_1/54.csv,train,32768,25600,1.28,1,69
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,55,35Hz12kN/Bearing1_1/55.csv,train,32768,25600,1.28,1,68
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,56,35Hz12kN/Bearing1_1/56.csv,train,32768,25600,1.28,1,67
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,57,35Hz12kN/Bearing1_1/57.csv,train,32768,25600,1.28,1,66
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,58,35Hz12kN/Bearing1_1/58.csv,train,32768,25600,1.28,1,65
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,59,35Hz12kN/Bearing1_1/59.csv,train,32768,25600,1.28,1,64
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,60,35Hz12kN/Bearing1_1/60.csv,train,32768,25600,1.28,1,63
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,61,35Hz12kN/Bearing1_1/61.csv,train,32768,25600,1.28,1,62
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,62,35Hz12kN/Bearing1_1/62.csv,train,32768,25600,1.28,1,61
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,63,35Hz12kN/Bearing1_1/63.csv,train,32768,25600,1.28,1,60
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,64,35Hz12kN/Bearing1_1/64.csv,train,32768,25600,1.28,1,59
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,65,35Hz12kN/Bearing1_1/65.csv,train,32768,25600,1.28,1,58
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,66,35Hz12kN/Bearing1_1/66.csv,train,32768,25600,1.28,1,57
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,67,35Hz12kN/Bearing1_1/67.csv,train,32768,25600,1.28,1,56
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,68,35Hz12kN/Bearing1_1/68.csv,train,32768,25600,1.28,1,55
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,69,35Hz12kN/Bearing1_1/69.csv,train,32768,25600,1.28,1,54
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,70,35Hz12kN/Bearing1_1/70.csv,train,32768,25600,1.28,1,53
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,71,35Hz12kN/Bearing1_1/71.csv,train,32768,25600,1.28,1,52
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,72,35Hz12kN/Bearing1_1/72.csv,train,32768,25600,1.28,1,51
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,73,35Hz12kN/Bearing1_1/73.csv,train,32768,25600,1.28,1,50
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,74,35Hz12kN/Bearing1_1/74.csv,train,32768,25600,1.28,1,49
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,75,35Hz12kN/Bearing1_1/75.csv,train,32768,25600,1.28,1,48
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,76,35Hz12kN/Bearing1_1/76.csv,train,32768,25600,1.28,1,47
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,77,35Hz12kN/Bearing1_1/77.csv,train,32768,25600,1.28,1,46
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,78,35Hz12kN/Bearing1_1/78.csv,train,32768,25600,1.28,1,45
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,79,35Hz12kN/Bearing1_1/79.csv,train,32768,25600,1.28,1,44
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,80,35Hz12kN/Bearing1_1/80.csv,train,32768,25600,1.28,1,43
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,81,35Hz12kN/Bearing1_1/81.csv,train,32768,25600,1.28,1,42
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,82,35Hz12kN/Bearing1_1/82.csv,train,32768,25600,1.28,1,41
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,83,35Hz12kN/Bearing1_1/83.csv,train,32768,25600,1.28,1,40
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,84,35Hz12kN/Bearing1_1/84.csv,train,32768,25600,1.28,1,39
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,85,35Hz12kN/Bearing1_1/85.csv,train,32768,25600,1.28,1,38
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,86,35Hz12kN/Bearing1_1/86.csv,train,32768,25600,1.28,1,37
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,87,35Hz12kN/Bearing1_1/87.csv,train,32768,25600,1.28,1,36
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,88,35Hz12kN/Bearing1_1/88.csv,train,32768,25600,1.28,1,35
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,89,35Hz12kN/Bearing1_1/89.csv,train,32768,25600,1.28,1,34
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,90,35Hz12kN/Bearing1_1/90.csv,train,32768,25600,1.28,1,33
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,91,35Hz12kN/Bearing1_1/91.csv,train,32768,25600,1.28,1,32
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,92,35Hz12kN/Bearing1_1/92.csv,train,32768,25600,1.28,1,31
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,93,35Hz12kN/Bearing1_1/93.csv,train,32768,25600,1.28,1,30
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,94,35Hz12kN/Bearing1_1/94.csv,train,32768,25600,1.28,1,29
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,95,35Hz12kN/Bearing1_1/95.csv,train,32768,25600,1.28,1,28
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,96,35Hz12kN/Bearing1_1/96.csv,train,32768,25600,1.28,1,27
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,97,35Hz12kN/Bearing1_1/97.csv,train,32768,25600,1.28,1,26
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,98,35Hz12kN/Bearing1_1/98.csv,train,32768,25600,1.28,1,25
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,99,35Hz12kN/Bearing1_1/99.csv,train,32768,25600,1.28,1,24
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,100,35Hz12kN/Bearing1_1/100.csv,train,32768,25600,1.28,1,23
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,101,35Hz12kN/Bearing1_1/101.csv,train,32768,25600,1.28,1,22
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,102,35Hz12kN/Bearing1_1/102.csv,train,32768,25600,1.28,1,21
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,103,35Hz12kN/Bearing1_1/103.csv,train,32768,25600,1.28,1,20
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,104,35Hz12kN/Bearing1_1/104.csv,train,32768,25600,1.28,1,19
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,105,35Hz12kN/Bearing1_1/105.csv,train,32768,25600,1.28,1,18
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,106,35Hz12kN/Bearing1_1/106.csv,train,32768,25600,1.28,1,17
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,107,35Hz12kN/Bearing1_1/107.csv,train,32768,25600,1.28,1,16
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,108,35Hz12kN/Bearing1_1/108.csv,train,32768,25600,1.28,1,15
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,109,35Hz12kN/Bearing1_1/109.csv,train,32768,25600,1.28,1,14
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,110,35Hz12kN/Bearing1_1/110.csv,train,32768,25600,1.28,1,13
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,111,35Hz12kN/Bearing1_1/111.csv,train,32768,25600,1.28,1,12
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,112,35Hz12kN/Bearing1_1/112.csv,train,32768,25600,1.28,1,11
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,113,35Hz12kN/Bearing1_1/113.csv,train,32768,25600,1.28,1,10
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,114,35Hz12kN/Bearing1_1/114.csv,train,32768,25600,1.28,1,9
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,115,35Hz12kN/Bearing1_1/115.csv,train,32768,25600,1.28,1,8
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,116,35Hz12kN/Bearing1_1/116.csv,train,32768,25600,1.28,1,7
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,117,35Hz12kN/Bearing1_1/117.csv,train,32768,25600,1.28,1,6
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,118,35Hz12kN/Bearing1_1/118.csv,train,32768,25600,1.28,1,5
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,119,35Hz12kN/Bearing1_1/119.csv,train,32768,25600,1.28,1,4
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,120,35Hz12kN/Bearing1_1/120.csv,train,32768,25600,1.28,1,3
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,121,35Hz12kN/Bearing1_1/121.csv,train,32768,25600,1.28,1,2
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,122,35Hz12kN/Bearing1_1/122.csv,train,32768,25600,1.28,1,1
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_1,1,123,35Hz12kN/Bearing1_1/123.csv,train,32768,25600,1.28,1,0
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,1,35Hz12kN/Bearing1_2/1.csv,train,32768,25600,1.28,1,160
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,2,35Hz12kN/Bearing1_2/2.csv,train,32768,25600,1.28,1,159
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,3,35Hz12kN/Bearing1_2/3.csv,train,32768,25600,1.28,1,158
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,4,35Hz12kN/Bearing1_2/4.csv,train,32768,25600,1.28,1,157
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,5,35Hz12kN/Bearing1_2/5.csv,train,32768,25600,1.28,1,156
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,6,35Hz12kN/Bearing1_2/6.csv,train,32768,25600,1.28,1,155
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,7,35Hz12kN/Bearing1_2/7.csv,train,32768,25600,1.28,1,154
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,8,35Hz12kN/Bearing1_2/8.csv,train,32768,25600,1.28,1,153
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,9,35Hz12kN/Bearing1_2/9.csv,train,32768,25600,1.28,1,152
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,10,35Hz12kN/Bearing1_2/10.csv,train,32768,25600,1.28,1,151
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,11,35Hz12kN/Bearing1_2/11.csv,train,32768,25600,1.28,1,150
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,12,35Hz12kN/Bearing1_2/12.csv,train,32768,25600,1.28,1,149
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,13,35Hz12kN/Bearing1_2/13.csv,train,32768,25600,1.28,1,148
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,14,35Hz12kN/Bearing1_2/14.csv,train,32768,25600,1.28,1,147
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,15,35Hz12kN/Bearing1_2/15.csv,train,32768,25600,1.28,1,146
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,16,35Hz12kN/Bearing1_2/16.csv,train,32768,25600,1.28,1,145
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,17,35Hz12kN/Bearing1_2/17.csv,train,32768,25600,1.28,1,144
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,18,35Hz12kN/Bearing1_2/18.csv,train,32768,25600,1.28,1,143
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,19,35Hz12kN/Bearing1_2/19.csv,train,32768,25600,1.28,1,142
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,20,35Hz12kN/Bearing1_2/20.csv,train,32768,25600,1.28,1,141
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,21,35Hz12kN/Bearing1_2/21.csv,train,32768,25600,1.28,1,140
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,22,35Hz12kN/Bearing1_2/22.csv,train,32768,25600,1.28,1,139
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,23,35Hz12kN/Bearing1_2/23.csv,train,32768,25600,1.28,1,138
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,24,35Hz12kN/Bearing1_2/24.csv,train,32768,25600,1.28,1,137
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,25,35Hz12kN/Bearing1_2/25.csv,train,32768,25600,1.28,1,136
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,26,35Hz12kN/Bearing1_2/26.csv,train,32768,25600,1.28,1,135
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,27,35Hz12kN/Bearing1_2/27.csv,train,32768,25600,1.28,1,134
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,28,35Hz12kN/Bearing1_2/28.csv,train,32768,25600,1.28,1,133
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,29,35Hz12kN/Bearing1_2/29.csv,train,32768,25600,1.28,1,132
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,30,35Hz12kN/Bearing1_2/30.csv,train,32768,25600,1.28,1,131
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,31,35Hz12kN/Bearing1_2/31.csv,train,32768,25600,1.28,1,130
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,32,35Hz12kN/Bearing1_2/32.csv,train,32768,25600,1.28,1,129
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,33,35Hz12kN/Bearing1_2/33.csv,train,32768,25600,1.28,1,128
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,34,35Hz12kN/Bearing1_2/34.csv,train,32768,25600,1.28,1,127
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,35,35Hz12kN/Bearing1_2/35.csv,train,32768,25600,1.28,1,126
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,36,35Hz12kN/Bearing1_2/36.csv,train,32768,25600,1.28,1,125
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,37,35Hz12kN/Bearing1_2/37.csv,train,32768,25600,1.28,1,124
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,38,35Hz12kN/Bearing1_2/38.csv,train,32768,25600,1.28,1,123
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,39,35Hz12kN/Bearing1_2/39.csv,train,32768,25600,1.28,1,122
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,40,35Hz12kN/Bearing1_2/40.csv,train,32768,25600,1.28,1,121
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,41,35Hz12kN/Bearing1_2/41.csv,train,32768,25600,1.28,1,120
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,42,35Hz12kN/Bearing1_2/42.csv,train,32768,25600,1.28,1,119
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,43,35Hz12kN/Bearing1_2/43.csv,train,32768,25600,1.28,1,118
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,44,35Hz12kN/Bearing1_2/44.csv,train,32768,25600,1.28,1,117
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,45,35Hz12kN/Bearing1_2/45.csv,train,32768,25600,1.28,1,116
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,46,35Hz12kN/Bearing1_2/46.csv,train,32768,25600,1.28,1,115
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,47,35Hz12kN/Bearing1_2/47.csv,train,32768,25600,1.28,1,114
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,48,35Hz12kN/Bearing1_2/48.csv,train,32768,25600,1.28,1,113
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,49,35Hz12kN/Bearing1_2/49.csv,train,32768,25600,1.28,1,112
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,50,35Hz12kN/Bearing1_2/50.csv,train,32768,25600,1.28,1,111
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,51,35Hz12kN/Bearing1_2/51.csv,train,32768,25600,1.28,1,110
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,52,35Hz12kN/Bearing1_2/52.csv,train,32768,25600,1.28,1,109
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,53,35Hz12kN/Bearing1_2/53.csv,train,32768,25600,1.28,1,108
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,54,35Hz12kN/Bearing1_2/54.csv,train,32768,25600,1.28,1,107
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,55,35Hz12kN/Bearing1_2/55.csv,train,32768,25600,1.28,1,106
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,56,35Hz12kN/Bearing1_2/56.csv,train,32768,25600,1.28,1,105
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,57,35Hz12kN/Bearing1_2/57.csv,train,32768,25600,1.28,1,104
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,58,35Hz12kN/Bearing1_2/58.csv,train,32768,25600,1.28,1,103
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,59,35Hz12kN/Bearing1_2/59.csv,train,32768,25600,1.28,1,102
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,60,35Hz12kN/Bearing1_2/60.csv,train,32768,25600,1.28,1,101
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,61,35Hz12kN/Bearing1_2/61.csv,train,32768,25600,1.28,1,100
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,62,35Hz12kN/Bearing1_2/62.csv,train,32768,25600,1.28,1,99
XJTU-SY,1,35Hz12kN,2100,12.0,Bearing1_2,2,63,35Hz12kN/Bearing1_2/63.csv,train,32768,25600,1.28,1,98
